wgs	stoolMeans	stoolSD	swabMeans	swabSD	tissueMeans	tissueSD	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)	rsquared marginal	rsquared conditional
K02231: adenosylcobinamide kinase / adenosylcobinamide-phosphate	1.712	0.435	1.546	0.589	0.276	0.601	<2e-16	0.247	1.83e-14	2.23e-13	0.109	0.209	NA	0.497679245283019	5.97597103004292e-14	7.76101200686106e-13	0.9956866689993	0.471703003337041	0.476	0.525
K02238: competence protein ComEC	1.875	0.245	1.655	0.53	0.066	0.266	<2e-16	0.0051	1.67e-15	1.67e-15	0.7	0.79	NA	0.0296784894837476	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.755	0.76
K02239: competence protein ComER	0.064	0.147	0.062	0.193	0.042	0.167	0.72	0.999	0.856	0.904	0.00375	0.105	0.732663777721132	1	0.877774932614555	0.930601725012684	0.9956866689993	0.308611781747948	0.056	0.17
K03723: transcription-repair coupling factor (superfamily II helicase)	2.028	0.234	1.829	0.277	0.387	0.501	<2e-16	0.00373	1.67e-15	1.67e-15	0.981	1	NA	0.0235036335403727	6.84531313131313e-15	1.69988127090301e-14	0.998386055843504	1	0.764	0.764
K03722: ATP-dependent DNA helicase DinG	1.281	0.309	1.358	0.167	0.058	0.199	<2e-16	0.396	1.67e-15	1.67e-15	0.267	0.558	NA	0.682460928652322	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.874046834791559	0.675	0.698
K03721: transcriptional regulator of aroF, aroG, tyrA and aromatic amino	0.937	0.235	0.753	0.352	0.035	0.066	<2e-16	0.00238	1.67e-15	3.28e-14	0.877	0.425	NA	0.0173497724550898	6.84531313131313e-15	1.28065169980757e-13	0.9956866689993	0.735981507823613	0.559	0.589
K03727: ATP-dependent RNA helicase HelY	0.147	0.238	0.162	0.261	0.079	0.223	0.168	0.959	0.553	0.527	0.714	0.00499	0.185520331950208	1	0.583482579303172	0.572319179304193	0.9956866689993	0.0447996017699115	0.023	0.241
K03726: helicase	0.127	0.213	0.093	0.154	0.017	0.067	0.0991	0.682	0.0862	0.416	0.429	0.0486	0.112933828147302	0.94563416856492	0.10222080654588	0.459479586281981	0.9956866689993	0.191809003215434	0.035	0.261
K03725: archaea-specific helicase	0.058	0.155	0.02	0.072	0	0	0.43	0.391	0.25	0.882	0.478	2.32e-05	0.447837203235064	0.677681378132118	0.277945205479452	0.910726717557252	0.9956866689993	0.00168117142857143	0.011	0.49
K03724: ATP-dependent helicase Lhr and Lhr-like helicase	0.667	0.405	0.707	0.388	0.04	0.149	1.25e-12	0.878	3.04e-08	3.77e-07	0.24	0.000135	1.15630344827586e-11	1	6.07102362204724e-08	8.67270975056689e-07	0.9956866689993	0.00437098404255319	0.295	0.563
K06412: stage V sporulation protein G	1.523	0.619	1.479	0.692	0.223	0.61	6.75e-12	0.942	1.04e-11	9.34e-09	0.268	0.0747	5.19190751445087e-11	1	2.47284375e-11	2.37678010033445e-08	0.9956866689993	0.249013636363636	0.323	0.443
K08866: serine/threonine-protein kinase TTK/MPS1	0.022	0.068	0.011	0.018	0.168	0.389	0.000608	0.936	0.000481	0.00143	0.93	0.465	0.00102670727580372	1	0.000736565283018868	0.00231685121107266	0.9956866689993	0.779524924263288	0.102	0.134
K08892: fyn-related kinase	0.011	0.038	0.128	0.258	0.332	0.317	2.67e-11	0.00152	5.45e-12	0.000123	0.0118	0.381	1.74160784313725e-10	0.0125709782608696	1.30916140489345e-11	0.000226535854765507	0.9956866689993	0.688174183976261	0.338	0.367
K11896: type VI secretion system protein ImpG	0.188	0.362	0.444	0.527	0	0	2.89e-05	0.00594	0.166	0.000876	0.602	0.0111	6.25983722192078e-05	0.0328101451905626	0.189718738265115	0.00146047986852917	0.9956866689993	0.0724953862660944	0.123	0.308
K11894: type VI secretion system protein ImpI	0.155	0.232	0.249	0.374	0	0	0.00274	0.184	0.0592	0.00505	0.0134	0.211	0.0040844212098581	0.403461095100865	0.0716829918440422	0.007575	0.9956866689993	0.474457702253417	0.111	0.189
K11895: type VI secretion system protein ImpH	0.251	0.41	0.449	0.551	0	0	3.81e-05	0.0736	0.0709	0.00237	0.131	0.000292	8.0772809346787e-05	0.205789251263206	0.08477083087802	0.00373638694638695	0.9956866689993	0.00705319047619048	0.119	0.393
K11892: type VI secretion system protein ImpK	0.365	0.346	0.468	0.444	0	0	1.06e-05	0.357	0.000469	0.000104	0.439	0.086	2.49352975839717e-05	0.642726708074534	0.000719275132275132	0.000192532846715328	0.9956866689993	0.271515560165975	0.147	0.279
K11891: type VI secretion system protein ImpL	0.215	0.382	0.438	0.53	0.048	0.192	8.91e-05	0.0285	0.274	0.00668	0.987	1.97e-05	0.000177754722638681	0.103508054892601	0.302528206058407	0.00983817082022744	0.999103431210822	0.00153735769230769	0.093	0.417
K07291	0.034	0.044	0.031	0.044	0	0	0.0135	0.931	0.00849	0.0527	0.828	0.667	0.0176463654223969	1	0.0115457171581769	0.0675052398989899	0.9956866689993	0.974796878751501	0.061	0.097
K11093: U1 small nuclear ribonucleoprotein 70kDa	0.049	0.107	0.021	0.063	0.017	0.044	0.235	0.362	0.419	0.987	0.198	1	0.253751690559913	0.647134801762115	0.450291843220339	0.995504391052196	0.9956866689993	1	0.032	0.032
K07290: hypothetical protein	0.178	0.309	0.218	0.388	0	0	0.00943	0.824	0.0877	0.0687	0.478	0.00832	0.0126877519379845	1	0.103938843457944	0.0864180409175449	0.9956866689993	0.0610164981949459	0.061	0.282
K08764: sterol carrier protein 2	0.091	0.228	0.558	0.415	1.246	0.235	<2e-16	2.22e-12	1.67e-15	1.74e-12	0.665	0.992	NA	1.10763442622951e-10	6.84531313131313e-15	5.71271844660194e-12	0.9956866689993	1	0.655	0.655
K10413: dynein heavy chain 1, cytosolic	0.038	0.127	0.216	0.223	0.548	0.289	<2e-16	1.15e-05	1.88e-14	2.47e-08	0.359	0.816	NA	0.000250897849462366	6.10648879402348e-14	6.12668704156479e-08	0.9956866689993	1	0.479	0.488
K10414: dynein heavy chain 2, cytosolic	0.082	0.283	0.808	0.49	1.996	0.093	<2e-16	2.48e-14	1.67e-15	6.99e-15	0.889	0.214	NA	1.89842079207921e-12	6.84531313131313e-15	4.74867522321429e-14	0.9956866689993	0.479079808753218	0.794	0.819
K11320: E1A-binding protein p400	0.077	0.085	0.152	0.189	0.245	0.265	7.55e-05	0.0363	4.9e-05	0.0872	0.308	0.106	0.000152220202020202	0.12174	8.12927228127555e-05	0.107730140044652	0.9956866689993	0.310352092352092	0.139	0.217
K11322: enhancer of polycomb-like protein	0.167	0.46	1.392	0.657	2.7	0.097	<2e-16	6.55e-15	1.67e-15	6.72e-14	0.843	0.0185	NA	1.04920657894737e-12	6.84531313131313e-15	2.45821153846154e-13	0.9956866689993	0.1032167736022	0.767	0.827
K11326: cation efflux system protein involved in nickel and cobalt tolerance	0.23	0.123	0.12	0.087	0.027	0.096	2.57e-11	4.51e-05	2.69e-09	0.0282	0.683	0.000767	1.68740789473684e-10	0.000775490677966102	5.67754160887656e-09	0.0377758362676056	0.9956866689993	0.0131885	0.303	0.529
K11328: two-component system, OmpR family, Ni(II)-sensor and/or redox sensor	0.182	0.083	0.144	0.081	0.01	0.039	1.52e-12	0.0672	7.4e-13	6.98e-07	0.221	0.0178	1.3635595505618e-11	0.193037470504955	1.83552567237164e-12	1.57127440828402e-06	0.9956866689993	0.10004487534626	0.334	0.508
K11329: two-component system, OmpR family, response regulator RpaB	1.192	0.213	1.113	0.219	0.076	0.217	<2e-16	0.204	1.67e-15	1.67e-15	0.853	1	NA	0.434633531676584	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.724	0.724
K07441: beta-1,4-N-acetylglucosaminyltransferase	0.23	0.397	0.193	0.358	0	0	0.0694	0.886	0.0563	0.219	0.718	0.333	0.0809126168224299	1	0.068389163839553	0.252951233396584	0.9956866689993	0.634022833906788	0.039	0.11
K00151: 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase	0.227	0.221	0.345	0.314	0.091	0.213	0.00391	0.0606	0.0931	0.00278	0.232	0.938	0.00564102638236357	0.178717151162791	0.109889412449098	0.00433782619841066	0.9956866689993	1	0.085	0.089
K00150: glyceraldehyde-3-phosphate dehydrogenase (NAD(P))	0.263	0.222	0.272	0.316	0.009	0.026	0.000105	0.984	0.000234	0.00123	0.256	0.016	0.000206686390532544	1	0.000367766072811774	0.00200885698953582	0.9956866689993	0.0936461538461539	0.124	0.294
K00153: NAD/factor-dependent formaldehyde dehydrogenase	0.428	0.236	0.426	0.279	0.007	0.021	5.01e-09	0.999	1.41e-09	1.71e-07	0.803	0.505	2.06824405377456e-08	1	3.00935133239832e-09	4.03597130670803e-07	0.9956866689993	0.818842567927544	0.251	0.295
K00152: salicylaldehyde dehydrogenase	0.006	0.026	0.007	0.016	0	0	0.366	0.983	0.579	0.591	0.648	0.117	0.385202214605853	1	0.6092261019879	0.635923104118791	0.9956866689993	0.330018072289157	0.015	0.114
K00155	0.163	0.095	0.254	0.268	0.019	0.04	2.48e-06	0.0102	0.00077	1.77e-06	0.883	0.269	6.53907529722589e-06	0.0493148530579825	0.00115756730056804	3.84785357142857e-06	0.9956866689993	0.55524008138352	0.168	0.225
K00158: pyruvate oxidase	0.434	0.227	0.406	0.337	0.002	0.006	1.02e-08	0.851	1.79e-09	1.04e-06	0.925	0.319	3.99591756624141e-08	1	3.80570380719525e-09	2.30955125866472e-06	0.9956866689993	0.616625277865989	0.243	0.296
K14537	0.011	0.076	0.042	0.16	0.065	0.246	0.186	0.475	0.241	0.824	0.864	1	0.203986813186813	0.772668359166221	0.268527732015376	0.857822473063109	0.9956866689993	1	0.024	0.024
K07446: putative methyltransferase	0.287	0.398	0.198	0.402	0	0	0.0169	0.521	0.0152	0.218	0.446	1.94e-05	0.021671956312239	0.815880370465655	0.020009169550173	0.251987466767945	0.9956866689993	0.00153360779220779	0.048	0.467
K09381: paired box protein 3/7	0.056	0.211	0.428	0.426	1.612	0.199	<2e-16	3.19e-09	1.67e-15	1.67e-15	0.637	0.882	NA	1.23678535031847e-07	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.771	0.774
K09384: hypothetical protein	0.639	0.398	0.588	0.508	0.07	0.282	8.02e-06	0.834	2.87e-06	0.000282	0.328	0.0595	1.92750391330524e-05	1	5.14722746022392e-06	0.000500301369863014	0.9956866689993	0.217523423423423	0.16	0.287
K08399: leucine-rich repeat-containing G protein-coupled receptor 6	0.046	0.121	0.132	0.189	0.2	0.268	0.000444	0.031	0.00109	0.35	0.145	0.609	0.000771300261096606	0.109516540917005	0.00161509980525803	0.391698841698842	0.9956866689993	0.923283437110834	0.12	0.151
K08392: MAS-related GPR, member D	0.066	0.273	0.604	0.454	1.6	0.135	<2e-16	4.6e-13	1.67e-15	2.63e-14	0.238	0.0245	NA	2.35295798319328e-11	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.124900753768844	0.739	0.799
K04094: glucose inhibited division protein Gid	1.36	0.505	1.075	0.59	0.067	0.269	<2e-16	0.0246	2.88e-14	7.98e-09	0.933	8.18e-05	NA	0.0926037105751392	8.48839406207827e-14	2.04265180824222e-08	0.9956866689993	0.00336430135135135	0.452	0.687
K04095: cell filamentation protein	1.603	0.373	1.671	0.301	0.102	0.408	<2e-16	0.662	1.67e-15	1.67e-15	0.598	0.00261	NA	0.932776388888889	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.0284784642857143	0.652	0.769
K04096: DNA processing protein	1.978	0.371	1.75	0.54	0.091	0.365	<2e-16	0.0272	1.67e-15	1.89e-15	0.569	0.875	NA	0.100100604594921	6.84531313131313e-15	1.72222005988024e-14	0.9956866689993	1	0.675	0.68
K04090: indolepyruvate ferredoxin oxidoreductase	0.1	0.113	0.147	0.269	0.051	0.2	0.0629	0.382	0.511	0.155	0.328	0.0681	0.0737435535976505	0.669132086330935	0.541797073680543	0.183272144522145	0.9956866689993	0.235069875424689	0.042	0.147
K04091: alkanesulfonate monooxygenase	0.241	0.448	0.534	0.577	0	0	3.47e-06	0.00848	0.123	0.000738	0.498	6.62e-05	8.87395259449071e-06	0.0430148	0.14304566297287	0.00124197014100083	0.9956866689993	0.00299906934306569	0.13	0.423
K04092: chorismate mutase	0.33	0.312	0.267	0.327	0.029	0.118	0.00032	0.594	0.000871	0.0339	0.532	0.12	0.000575423423423424	0.880584023380419	0.00130232792925571	0.0448585434782609	0.9956866689993	0.335217989903626	0.114	0.224
K04093: chorismate mutase	0.474	0.273	0.366	0.338	0.013	0.051	7.04e-08	0.159	1.34e-08	0.000188	0.724	1	2.43532755632582e-07	0.363983828506958	2.71976658886295e-08	0.000339571513353116	0.9956866689993	1	0.219	0.219
K06606: inosose isomerase	0.55	0.453	0.275	0.396	0	0	2.47e-06	0.00719	8.63e-06	0.0944	0.897	0.743	6.51701255783212e-06	0.0380239183318853	1.50302746781116e-05	0.115662801932367	0.9956866689993	1	0.178	0.211
K01579: aspartate 1-decarboxylase	1.839	0.391	1.429	0.713	0.1	0.4	<2e-16	0.000248	1.67e-15	3.57e-14	0.573	1	NA	0.00309339344262295	6.84531313131313e-15	1.36842506297229e-13	0.9956866689993	1	0.572	0.572
K01576: benzoylformate decarboxylase	0.016	0.064	0.012	0.02	0	0	0.54	0.936	0.515	0.758	0.103	0.228	0.556160990712074	1	0.545468070297547	0.797019519778891	0.9956866689993	0.497432258064516	0.024	0.185
K01577: oxalyl-CoA decarboxylase	0.131	0.243	0.183	0.319	0.055	0.22	0.0614	0.612	0.521	0.256	0.629	0.000931	0.0720272700558331	0.896568953068592	0.551343358831711	0.292523371503661	0.9956866689993	0.01491315	0.032	0.308
K01571: oxaloacetate decarboxylase, alpha subunit	1.743	0.215	1.461	0.386	0.101	0.403	<2e-16	2.01e-05	1.67e-15	1.67e-15	0.661	0.21	NA	0.000402462828947368	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.472907880133185	0.771	0.792
K01572: oxaloacetate decarboxylase, beta subunit	2.209	0.272	1.864	0.459	0.231	0.509	<2e-16	2.41e-05	1.67e-15	1.67e-15	0.824	1	NA	0.000470181730769231	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.759	0.759
K07681: two-component system, NarL family, vancomycin resistance sensor	0.069	0.111	0.09	0.152	0	0	0.0103	0.671	0.0673	0.0348	0.273	0.00791	0.0137333333333333	0.938721443346357	0.08065664500886	0.0459296617519514	0.9956866689993	0.0598113913043478	0.063	0.257
K02009: cobalt transport protein	0.31	0.524	0.323	0.503	0	0	0.056	0.991	0.0491	0.0872	0.0221	1	0.0661396449704142	1	0.0602199677614346	0.107730140044652	0.9956866689993	1	0.074	0.074
K02008: cobalt/nickel transport system permease protein	2.02	0.325	1.949	0.432	0.195	0.532	<2e-16	0.651	1.67e-15	1.67e-15	0.475	0.244	NA	0.923906971321987	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	0.51931048951049	0.707	0.736
K02005: HlyD family secretion protein	2.267	0.295	1.961	0.476	0.272	0.607	<2e-16	0.00076	1.67e-15	1.67e-15	0.789	1	NA	0.00743532423756019	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.727	0.727
K02004	2.777	0.314	2.606	0.282	0.667	0.723	<2e-16	0.0896	1.67e-15	1.67e-15	0.983	0.558	NA	0.237231491953023	6.84531313131313e-15	1.69988127090301e-14	0.99910058381985	0.874046834791559	0.755	0.765
K02007: cobalt/nickel transport system permease protein	1.065	0.49	0.938	0.526	0.074	0.297	1.15e-10	0.433	8.88e-12	1.74e-07	0.27	0.717	6.58651362984218e-10	0.726080165289256	2.11556007827789e-11	4.1004181184669e-07	0.9956866689993	1	0.302	0.33
K02006: cobalt/nickel transport system ATP-binding protein	2.248	0.3	2.143	0.264	0.447	0.54	<2e-16	0.298	1.67e-15	1.67e-15	0.192	1	NA	0.566497813866334	6.84531313131313e-15	1.69988127090301e-14	0.9956866689993	1	0.749	0.749
K13339	0.061	0.111	0.125	0.207	0.259	0.435	0.000926	0.266	0.000614	0.0735	0.753	0.87	0.00150574012219959	0.524843435980551	0.000932722236086848	0.0919996915484269	0.9956866689993	1	0.097	0.106
K02858: 3,4-dihydroxy 2-butanone 4-phosphate synthase	2.004	0.346	1.717	0.543	0.355	0.657	<2e-16	0.00662	1.67e-15	2.99e-14	0.721	0.349	NA	0.0357868028419183	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.652445638820639	0.586	0.612
K00690: sucrose phosphorylase	0.847	0.431	0.913	0.442	0.065	0.261	4.68e-10	0.742	3.8e-10	4.37e-09	0.233	0.306	2.3738958068615e-09	0.985931892599869	8.33835616438356e-10	1.14360232158212e-08	0.9956866689993	0.600845806451613	0.281	0.344
K14170	1.575	0.278	1.382	0.486	0.067	0.265	<2e-16	0.0182	1.67e-15	2.11e-15	0.986	0.563	NA	0.0744012088650101	6.84531313131313e-15	1.80134221598878e-14	0.999103431210822	0.878037663335895	0.677	0.692
K00691: maltose phosphorylase	1.1	0.375	0.727	0.388	0.05	0.2	<2e-16	1.22e-05	2.21e-14	6.51e-08	0.507	0.273	NA	0.00026240777385159	7.05045597484277e-14	1.57622792362768e-07	0.9956866689993	0.560455649241147	0.468	0.523
K00696: sucrose-phosphate synthase	0.302	0.207	0.29	0.204	0	0	2.73e-07	0.956	1.85e-07	1.66e-05	0.901	0.158	8.4942790335152e-07	1	3.54117924528302e-07	3.30317750898987e-05	0.9956866689993	0.39399672265465	0.2	0.308
K00378: hydroxylamine reductase	1.828	0.263	1.529	0.584	0.244	0.439	<2e-16	0.000667	1.67e-15	1.59e-14	0.512	1	NA	0.00667767927631579	6.84531313131313e-15	9.26155980861244e-14	0.9956866689993	1	0.643	0.643
K06276: 3-phosphoinositide dependent protein kinase-1	0.074	0.129	0.163	0.284	0.133	0.248	0.0607	0.0643	0.459	0.862	0.151	1	0.0712270429159318	0.186466936636494	0.489562467145611	0.892801429300664	0.9956866689993	1	0.053	0.053
K12314: actin, alpha cardiac muscle	0.019	0.078	0.132	0.169	0.477	0.215	<2e-16	6.95e-05	1.67e-15	3.28e-14	0.3	0.122	NA	0.00108473461538462	6.84531313131313e-15	1.28065169980757e-13	0.9956866689993	0.339093150684932	0.6	0.64
K12315: actin, gamma-enteric smooth muscle	0.015	0.066	0.093	0.123	0.363	0.206	<2e-16	0.00159	2.33e-15	2.08e-13	0.533	0.118	NA	0.0129910469798658	8.88640977443609e-15	7.2514089347079e-13	0.9956866689993	0.331456391324412	0.542	0.588
K12316: lysosomal alpha-glucosidase	0.423	0.156	0.413	0.123	0.121	0.155	1.2e-11	0.944	2.5e-11	1.84e-08	0.888	0.0342	8.53903743315508e-11	1	5.83269451897279e-11	4.59773399014778e-08	0.9956866689993	0.153182781456954	0.306	0.449
K12317: neutral alpha-glucosidase C	0.312	0.124	0.413	0.276	0.065	0.149	1.1e-08	0.0152	6.14e-07	2.1e-09	0.883	0.631	4.27992202729045e-08	0.0652025369978858	1.1401519219036e-06	5.64108561341571e-09	0.9956866689993	0.943477523949889	0.239	0.266
K12310: Di-N-acetylchitobiase	0.059	0.109	0.044	0.09	0	0	0.0684	0.765	0.076	0.34	0.551	0.752	0.0797933372296902	1	0.0906904528523819	0.381067943288529	0.9956866689993	1	0.04	0.064
K12311: lysosomal alpha-mannosidase	0.012	0.045	0.055	0.133	0.099	0.271	0.00952	0.182	0.0138	0.433	0.822	1	0.012782993609149	0.399940072202166	0.0182729171198608	0.47609664017341	0.9956866689993	1	0.065	0.065
K12313: actin, aortic smooth muscle	0.02	0.087	0.137	0.174	0.502	0.226	<2e-16	0.000104	1.67e-15	3.26e-14	0.288	0.116	NA	0.00152910144927536	6.84531313131313e-15	1.2777604636188e-13	0.9956866689993	0.328720670391061	0.596	0.639
K03064: 26S proteasome regulatory subunit T4	0.095	0.153	0.138	0.206	0.189	0.327	0.143	0.538	0.159	0.667	0.0575	1	0.15968	0.831380045696877	0.182197477409639	0.710540602030102	0.9956866689993	1	0.051	0.051
K03065: 26S proteasome regulatory subunit T5	0.035	0.131	0.023	0.042	0.309	0.443	8.08e-07	0.952	3.48e-07	4.86e-06	0.225	1	2.31886125089863e-06	1	6.56422683607065e-07	1.02080124223602e-05	0.9956866689993	1	0.195	0.195
K03066: 26S proteasome regulatory subunit T6	0.052	0.112	0.131	0.242	0.367	0.446	6.41e-07	0.172	1.74e-07	0.000901	0.84	1	1.86915412710007e-06	0.38477177508269	3.33797037503939e-07	0.00149969565217391	0.9956866689993	1	0.191	0.191
K08955: ATP-dependent metalloprotease	0.165	0.108	0.127	0.146	0.167	0.323	0.503	0.485	0.999	0.688	0.189	1	0.519931641636458	0.783075596816976	1	0.730482469911041	0.9956866689993	1	0.022	0.022
K03061: 26S proteasome regulatory subunit T1	0.047	0.105	0.057	0.105	0.253	0.4	5.55e-05	0.952	2.19e-05	0.000625	0.2	0.892	0.000114499224806202	1	3.72569312465064e-05	0.00106237782742251	0.9956866689993	1	0.142	0.149
K08956: AFG3 family protein	0.87	0.194	0.704	0.248	0.279	0.36	8.79e-15	0.00267	2.94e-14	6.99e-08	0.441	1	2.00053636363636e-13	0.0186807931034483	8.48839406207827e-14	1.68975893566322e-07	0.9956866689993	1	0.402	0.402
K03068: low density lipoprotein receptor-related protein 5/6	0.02	0.097	0.233	0.255	0.535	0.37	<2e-16	8.85e-07	2.7e-14	1.75e-06	0.707	1	NA	2.52910563380282e-05	8.27537764350453e-14	3.80709435310936e-06	0.9956866689993	1	0.46	0.46
K13800	0.289	0.208	0.229	0.216	0.036	0.101	1.58e-05	0.342	2.16e-05	0.00768	0.781	0.382	3.57155152887882e-05	0.623466307277628	3.67568353368745e-05	0.0112267435158501	0.9956866689993	0.688346358792185	0.153	0.212
K06126: ubiquinone biosynthesis monooxygenase Coq6	0.077	0.119	0.124	0.172	0	0	0.000111	0.193	0.0615	0.00557	0.661	0.000404	0.000217638506876228	0.417184303977273	0.0742022794846383	0.00830994852941177	0.9956866689993	0.00856845993031359	0.103	0.346
K06655: negative regulator of the PHO system	0.004	0.011	0.015	0.037	0.063	0.117	9.25e-06	0.427	2.11e-06	0.00121	0.718	0.327	2.20322195704057e-05	0.717600496963004	3.80888790035587e-06	0.00197778464017186	0.9956866689993	0.627110586011342	0.16	0.198
K09604: adipocyte-derived leucine aminopeptidase	0.047	0.057	0.058	0.117	0.06	0.148	0.712	0.821	0.843	0.997	0.426	0.555	0.724892629431268	1	0.865902969962876	1	0.9956866689993	0.871590557275542	0.009	0.044
K06125: 4-hydroxybenzoate hexaprenyltransferase	0.038	0.125	0.095	0.239	0	0	0.0949	0.175	0.618	0.109	0.661	1	0.108395078683834	0.388484682713348	0.646684889118102	0.131983887010145	0.9956866689993	1	0.034	0.034
K06123: 1-acylglycerone phosphate reductase	0.126	0.15	0.095	0.124	0	0	0.000895	0.551	0.00251	0.0728	0.68	0.103	0.00145949346405229	0.84206301782576	0.00360084138581193	0.0911985182136242	0.9956866689993	0.304202328966521	0.097	0.252
K04440: c-Jun N-terminal kinase	0.06	0.166	0.178	0.283	0.445	0.569	1.59e-06	0.098	7.87e-07	0.00431	0.452	0.414	4.35043180260452e-06	0.25384085106383	1.45297816196542e-06	0.00654728475168455	0.9956866689993	0.725602649006623	0.186	0.228
K04447: Janus kinase 2	0.012	0.066	0.032	0.076	0.229	0.355	1.74e-07	0.756	3.28e-08	1.55e-05	0.145	0.78	5.62891410048622e-07	0.99433275713051	6.54173001310616e-08	3.09542322834646e-05	0.9956866689993	1	0.218	0.229
K02853: 4-alpha-L-fucosyltransferase	0.314	0.441	0.369	0.497	0	0	0.0155	0.819	0.0205	0.0188	0.902	0.111	0.0200570502431118	1	0.0265158308542286	0.025955001134044	0.9956866689993	0.319007082152975	0.053	0.206
K11409: histone deacetylase 9	0.018	0.086	0.107	0.215	0.16	0.275	0.000347	0.0164	0.00154	0.49	0.216	1	0.000618679767753461	0.0689411602209945	0.00225498676930479	0.534904949784792	0.9956866689993	1	0.118	0.118
K09703: hypothetical protein	0.535	0.483	0.338	0.451	0	0	1.23e-05	0.106	6.33e-05	0.0479	0.831	0.168	2.85640488656195e-05	0.268954564401834	0.000104277970230041	0.0616160819949281	0.9956866689993	0.409537845414497	0.158	0.277
K01125: N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	0.508	0.405	0.425	0.441	0.173	0.376	0.0059	0.614	0.00805	0.125	0.514	0.604	0.00824389219460973	0.898633806203414	0.0109792404212413	0.149896572104019	0.9956866689993	0.919137	0.075	0.124
K11407: histone deacetylase 6/10	0.112	0.172	0.196	0.318	0.146	0.313	0.169	0.191	0.843	0.754	0.21	0.171	0.186418347609837	0.414480213903743	0.865902969962876	0.793498962655602	0.9956866689993	0.413703100158983	0.035	0.121
K11406: histone deacetylase 4/5	0.042	0.103	0.112	0.21	0.181	0.343	0.00472	0.129	0.00769	0.403	0.723	0.943	0.006717376114082	0.311472828242761	0.0105165198831723	0.446254502455885	0.9956866689993	1	0.075	0.079
K05131: interferon receptor 2	0.089	0.337	1	0.572	2.241	0.136	<2e-16	1.52e-14	1.67e-15	2.65e-14	0.693	0.176	NA	1.77927692307692e-12	6.84531313131313e-15	1.24061143984221e-13	0.9956866689993	0.421444531864673	0.783	0.813
K04876: potassium voltage-gated channel, Shaker-related subfamily A, member	0.122	0.123	0.113	0.113	0.179	0.196	0.24	0.948	0.248	0.253	0.31	0.83	0.25887057552013	1	0.275872807017544	0.289312605673492	0.9956866689993	1	0.027	0.045
K04877: potassium voltage-gated channel, Shaker-related subfamily A, member	0.11	0.116	0.092	0.095	0.214	0.3	0.0195	0.832	0.0233	0.0219	0.494	1	0.0247989805670596	1	0.0298520521995369	0.0298756835499776	0.9956866689993	1	0.058	0.058
K04874: potassium voltage-gated channel, Shaker-related subfamily A, member	0.116	0.141	0.091	0.097	0.218	0.218	0.0169	0.692	0.0263	0.0155	0.429	1	0.021671956312239	0.952987330316742	0.0334842292407446	0.0216544640807895	0.9956866689993	1	0.061	0.061
K04875: potassium voltage-gated channel, Shaker-related subfamily A, member	0.06	0.099	0.108	0.214	0.222	0.331	0.00163	0.361	0.00111	0.0754	0.389	1	0.00253287660568315	0.646676574455562	0.0016427352297593	0.0941842396880772	0.9956866689993	1	0.093	0.093
K04878: potassium voltage-gated channel, Shaker-related subfamily A, member	0.112	0.133	0.116	0.203	0.134	0.162	0.867	0.991	0.855	0.927	0.378	1	0.872243951612903	1	0.876897219882056	0.949940909090909	0.9956866689993	1	0.007	0.007
K04879: potassium voltage-gated channel, Shaker-related subfamily A, member	0.07	0.085	0.064	0.073	0.153	0.255	0.0237	0.964	0.0216	0.0367	0.485	1	0.0296863508001255	1	0.0278439644218551	0.0483116133217993	0.9956866689993	1	0.055	0.055
K08324: aldehyde dehydrogenase family protein	0.147	0.233	0.249	0.286	0	0	0.000579	0.105	0.0532	0.00241	0.705	0.0247	0.000982306842328942	0.266862212943633	0.0648694711538461	0.00379453440248319	0.9956866689993	0.125395246038365	0.09	0.271
K05310: ethanolaminephosphotransferase	0.304	0.317	0.842	0.474	0.263	0.387	7.59e-10	2.97e-10	0.909	2.74e-06	0.127	0.369	3.70860220318237e-09	1.24678551724138e-08	0.926814572864322	5.87266901408451e-06	0.9956866689993	0.674910757211538	0.277	0.335
K05311: central glycolytic genes regulator	0.436	0.456	0.421	0.463	0	0	0.00121	0.985	0.000755	0.00637	0.259	0.707	0.00191831612390786	1	0.00113613967861557	0.00941578193297717	0.9956866689993	1	0.1	0.14
