wgs	stoolMeans	stoolSD	swabMeans	swabSD	Origin p-value	Individual p-value	Origin (adj p-value)	Individual (adj p-value)
Peptidoglycan_biosynthesis	3.49	0.373	3.387	0.243	0.159787627102544	0.876979680185684	0.227119520284119	0.999973330728242
Lipopolysaccharide_biosynthesis	3.251	0.383	3.147	0.257	0.165268672538444	0.399372392063367	0.233441999960553	0.999973330728242
N_Glycan_biosynthesis	2.427	0.177	2.496	0.098	0.0557554002183798	0.53219207398399	0.0913095684735785	0.999973330728242
PPAR_signaling_pathway	0.286	0.428	0.974	0.833	8.47529093611676e-08	0.999826804033987	4.67174573551802e-07	0.999973330728242
Huntington_s_disease	0.236	0.49	1.51	0.856	4.29730405785466e-16	0.307293239896316	8.82900651886504e-15	0.951346194747499
Glycosaminoglycan_biosynthesis_chondroitin_sulfate	0.834	0.326	1.187	0.436	1.12948782405856e-05	0.418300518267449	3.98850387870677e-05	0.999973330728242
Adipocytokine_signaling_pathway	0.417	0.383	1.014	0.778	2.63693256195579e-07	0.999844434710668	1.32432613111557e-06	0.999973330728242
Prion_diseases	0.812	0.41	1.382	0.522	4.71145457296377e-08	0.999832488891676	2.80207561444688e-07	0.999973330728242
Hypertrophic_cardiomyopathy_HCM_	0.087	0.298	0.706	0.843	3.37001988283747e-08	0.999847844492304	2.05844457708451e-07	0.999973330728242
Biosynthesis_of_unsaturated_fatty_acids	2.505	0.288	2.273	0.815	0.0201828304461207	0.955282056655114	0.0383247626412579	0.999973330728242
Glycosphingolipid_biosynthesis_globo_series	1.21	0.853	2.531	0.519	3.400610121421e-11	0.999803019278188	3.34146907583106e-10	0.999973330728242
Alzheimer_s_disease	0.536	0.342	0.975	0.912	0.000183936797587963	0.999804527260077	0.000513206373517033	0.999973330728242
Pentose_and_glucuronate_interconversions	3.36	0.131	3.221	0.208	6.05424319205105e-05	0.747668835665727	0.000192712529775146	0.999973330728242
Glycosaminoglycan_degradation	2.775	0.342	2.78	0.185	0.869905778836934	0.0283683910687437	0.893630481896124	0.356180910085337
