wgs	stoolMeans	stoolSDs	swabMeans	swabSDs	tissueMeans	tissueSDs	Origin p-value	OriginSwabStool p-value	OriginTissueStool p-value	OriginTissueSwab p-value	Time p-value	Individual p-value	Origin (adj p-value)	OriginSwabStool (adj p-value)	OriginTissueStool (adj p-value)	OriginTissueSwab (adj p-value)	Time (adj p-value)	Individual (adj p-value)
K12734	0.86	0.587	2.474	0.718	3.855	0.087	1.81030355538699e-44	2.1094237467878e-15	1.66533453693773e-15	1.90422122514633e-11	0.720621765656343	0.146510253027843	4.64950115681038e-43	7.06510607593393e-13	6.8261894453468e-15	5.81293610705402e-11	0.999248226209326	0.379170029838641
K12735	0.028	0.085	0.085	0.253	0	0	0.0678582099323262	0.108905772258589	0.70653659505305	0.0998455178209905	0.216192740093548	0.999897890599066	0.0761668677591868	0.274383044593557	0.733780626870486	0.121903227296138	0.999248226209326	0.999998145862406
K12733	0.898	0.219	0.718	0.401	0.243	0.392	9.55843462850213e-14	0.0104286755660838	9.74775815620887e-14	1.19992296887528e-06	0.467718693790297	0.0497207193899375	2.44565748565332e-13	0.0502467978005549	2.51311325272526e-13	2.64731102266902e-06	0.999248226209326	0.193882138966399
K11817: indole-3-acetaldehyde oxidase	0.008	0.008	0.014	0.016	0	0	0.000120800227754879	0.0230120066521344	0.00996418905937224	7.11994479551947e-05	0.940743518653295	0.0816895787351185	0.00018961087837647	0.0880415364497437	0.0134096879956663	0.00013384528712269	0.999248226209326	0.262270081220342
K12738	0.031	0.161	0.099	0.192	0.696	0.438	5.39425052146234e-21	0.308964624686652	1.01030295240889e-14	3.78586051397178e-14	0.301174036175273	0.999848285598934	1.8363983738334e-20	0.581350129974544	3.47441472955533e-14	1.44298891349695e-13	0.999248226209326	0.999998145862406
K07507: putative Mg2+ transporter-C (MgtC) family protein	1.736	0.407	1.696	0.368	0.088	0.352	2.5278165092962e-31	0.882289750517165	1.66533453693773e-15	1.88737914186277e-15	0.862886400512395	0.496809416170629	1.48386698713265e-30	0.999999996206915	6.8261894453468e-15	1.71983186175429e-14	0.999248226209326	0.811397616375267
K07506: AraC family transcriptional regulator	1.806	0.269	1.692	0.368	0.219	0.5	8.50564026829471e-38	0.231324744503464	1.66533453693773e-15	1.66533453693773e-15	0.639968221789416	0.559479911970627	8.80507352263774e-37	0.475861344978907	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.875769829801607
K07505: hypothetical protein	0.635	0.391	0.596	0.448	0	0	4.36157508020937e-08	0.885072174217469	2.15947087989221e-08	5.56079987268365e-06	0.396632320400987	0.44752671886263	8.56416371394659e-08	0.999999996206915	4.34679207867192e-08	1.16318174656445e-05	0.999248226209326	0.760920429529841
K07504: hypothetical protein	0.777	0.524	0.625	0.594	0	0	4.57735809194246e-07	0.34457570292598	2.21526633703562e-07	0.000386311152469454	0.106125877252616	0.0232476315602098	8.51539691493085e-07	0.627597936478288	4.22573682028699e-07	0.000673775353891566	0.999248226209326	0.121067367810422
K07502: hypothetical protein	0.721	0.463	0.807	0.499	0	0	2.41122928264367e-08	0.635795971928081	4.96417227324741e-08	1.43967076815521e-07	0.579282704624215	0.999848906197817	4.79175731095398e-08	0.913618999321584	9.82983624829441e-08	3.4164818579964e-07	0.999248226209326	0.999998145862406
K07509: acetyl-CoA acyltransferase	0.026	0.068	0.137	0.195	0.018	0.074	8.1939741045308e-06	7.1231138690786e-06	0.964532553774425	0.00136109676647367	0.445724109215561	0.0432241408300033	1.4077538914558e-05	0.000168619801746006	0.975753640489435	0.00221169140884282	0.999248226209326	0.178983228049136
K07508: acetyl-CoA acyltransferase 2	0.107	0.097	0.141	0.163	0.063	0.238	0.167487703408139	0.454596305984046	0.4302752968437	0.145797496546512	0.0605652714985915	0.999890121751765	0.180282520008018	0.751324386240805	0.461431594765257	0.173063448026252	0.999248226209326	0.999998145862406
K11420: euchromatic histone-lysine N-methyltransferase	0.04	0.102	0.105	0.281	0.229	0.35	0.000825121151241684	0.241798875360939	0.000776750598775355	0.0910859940009228	0.0680884504576311	0.999888353654788	0.00118791685137373	0.489890147803484	0.00116742738141866	0.111985547461849	0.999248226209326	0.999998145862406
K11426: SET and MYND domain-containing protein	0.086	0.298	0.87	0.563	2.092	0.181	9.52377167086589e-46	2.80886425230165e-14	1.66533453693773e-15	1.96509475358653e-14	0.81047675545963	0.41461642089765	3.31263989488918e-44	1.90024893510268e-12	6.8261894453468e-15	1.0834720801704e-13	0.999248226209326	0.726399340466787
K10771: AP endonuclease 1	1.032	0.158	0.884	0.307	0.124	0.316	2.69403948243226e-31	0.00481220063304211	1.66533453693773e-15	1.43218770176645e-14	0.959055801730778	0.718868794275398	1.57376375523658e-30	0.0283561135075773	6.8261894453468e-15	8.48027873604318e-14	0.999248226209326	0.999998145862406
K10772: AP endonuclease 2	0.08	0.069	0.093	0.137	0.064	0.257	0.746665457513645	0.877338773483867	0.873697843611081	0.728821681213584	0.870104988680446	0.250192049497064	0.755100953627771	0.999999996206915	0.894416208217398	0.769663007208031	0.999248226209326	0.527911784431973
K10773: endonuclease III	2.091	0.25	1.896	0.46	0.086	0.342	6.89662307497529e-50	0.0115577469529325	1.66533453693773e-15	1.66533453693773e-15	0.602655998059886	0.182362667076061	6.45842225498071e-48	0.0537038211469469	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.43209091260879
K10774: tyrosine ammonia-lyase	0.089	0.089	0.056	0.082	0	0	0.000308113664311667	0.150078132399791	0.000344049587080675	0.0878887870906654	0.858229536435199	2.15199569579363e-05	0.000466075515572843	0.347877224644909	0.000533154235376799	0.108471015211046	0.999248226209326	0.00159746314637754
K10775: phenylalanine ammonia-lyase	0.109	0.081	0.091	0.083	0	0	3.43188872900845e-06	0.523224791876234	1.66647274446596e-06	0.000699217518069228	0.996042090808019	6.51594802757847e-05	6.04628268986235e-06	0.818522052981403	3.02619916335451e-06	0.00118062053605753	0.999248226209326	0.00299837991131809
K10778: AraC family transcriptional regulator, regulatory protein of	0.936	0.329	0.739	0.404	0.105	0.223	1.95096657321338e-15	0.0175520104303495	3.1641356201817e-14	3.27321051374341e-08	0.054339367271304	0.0493880373796918	5.2968481405664e-15	0.0724712797882142	8.60978700046758e-14	8.05988365580749e-08	0.999248226209326	0.192955701880734
K10779: transcriptional regulator ATRX	0.015	0.045	0.038	0.08	0.118	0.237	0.000326222468389352	0.463328935038518	0.00020721039131999	0.020399032009027	0.631371255593288	0.999944613841	0.000492122965324903	0.761004648564345	0.00032803371962673	0.0279722702948744	0.999248226209326	0.999998145862406
K14539	0.046	0.16	0.107	0.257	0.147	0.342	0.118200512531852	0.367350395067525	0.175279894974419	0.811056058450169	0.369252173607286	0.442042563678536	0.129148540617731	0.652674213302984	0.199687202079223	0.845938695645336	0.999248226209326	0.754758228642707
K00140: methylmalonate-semialdehyde dehydrogenase	0.607	0.345	0.591	0.436	0.189	0.409	0.000250097422533643	0.978535033405818	0.000161596567124112	0.00218013873862943	0.65216330954298	0.0177639960434252	0.000381062080340998	0.999999996206915	0.000258376229073934	0.00346122002863869	0.999248226209326	0.0999786606542004
K01900: succinyl-CoA synthetase beta subunit	0.251	0.252	0.278	0.3	0.134	0.368	0.227605410540976	0.888610923547469	0.26661754724684	0.225409363172829	0.572036943380306	0.641515299524083	0.241028902916305	0.999999996206915	0.29507291092573	0.259861135157767	0.999248226209326	0.953578419585615
K01903: succinyl-CoA synthetase beta subunit	1.054	0.42	0.985	0.557	0	0	4.7719421839753e-15	0.732985122968001	3.1641356201817e-14	4.62887506103016e-11	0.25907675632736	0.0653112114705461	1.28072363641348e-14	0.980142268137632	8.60978700046758e-14	1.37982186564596e-10	0.999248226209326	0.230204595636478
K01902: succinyl-CoA synthetase alpha subunit	0.993	0.475	0.984	0.571	0.08	0.319	4.05827822870115e-10	0.995066295339201	2.57025623007223e-10	5.39942303090513e-08	0.557796611899559	0.00128852078995984	8.88268233660695e-10	0.999999996206915	5.67675967795707e-10	1.3130758285705e-07	0.999248226209326	0.018282578201598
K01905: acetyl-CoA synthetase (ADP-forming)	0.749	0.312	0.535	0.324	0.036	0.144	1.45636908848995e-14	0.00313929931423029	4.45199432874688e-14	1.36362018965386e-06	0.283434338520353	0.00494448873173846	3.83596652602264e-14	0.0209229324596577	1.17414599129472e-13	2.99004182075758e-06	0.999248226209326	0.0445711909394085
K01904: 4-coumarate--CoA ligase	0.339	0.134	0.267	0.205	0.003	0.008	9.73139159821639e-14	0.0563552045658638	7.04991620636974e-14	1.14437957887681e-07	0.636597006019377	0.179583326781661	2.48886473354383e-13	0.170071457705708	1.82763372862745e-13	2.73706817156115e-07	0.999248226209326	0.427001449265615
K01907: acetoacetyl-CoA synthetase	0.046	0.153	0.103	0.231	0.352	0.473	8.13951453025852e-06	0.465841791442666	4.18141992597487e-06	0.00163152702359592	0.906535611122467	0.999846692153722	1.3987923474219e-05	0.763072923711385	7.42482587205631e-06	0.00262380581046985	0.999248226209326	0.999998145862406
K01906: 6-carboxyhexanoate--CoA ligase	0.323	0.396	0.17	0.304	0.004	0.014	0.0019490721818131	0.115191083422041	0.00336612128296532	0.30401885684005	0.85232257537032	5.10081163897601e-05	0.00268964007497083	0.286732268100558	0.00476612706429632	0.342506529999145	0.999248226209326	0.00261747975793338
K01909: long-chain-fatty-acid--[acyl-carrier-protein] ligase	0.056	0.082	0.07	0.116	0.004	0.014	0.0399037923297777	0.746930594353179	0.0595673930784941	0.0386339802473317	0.123949045338035	0.603689362921045	0.0461250254294259	0.988813946895999	0.0720848353218278	0.0506275646427358	0.999248226209326	0.919301874159536
K01908: propionyl-CoA synthetase	0.217	0.231	0.285	0.316	0.071	0.237	0.0266704391388396	0.42209840462934	0.0811702907717272	0.02010011492149	0.48602361584222	0.00966431070743079	0.0316766757147545	0.711721049578613	0.0964818511867806	0.0275996840801059	0.999248226209326	0.0664123458307089
K14534	0.824	0.362	0.677	0.451	0	0	2.69542986363759e-13	0.143541813297592	1.28896893158981e-13	5.32982550316419e-08	0.24290322081145	0.0560492256780724	6.77139148987289e-13	0.337611676021036	3.29800499646370e-13	1.29718703869494e-07	0.999248226209326	0.209721353467321
K00411: ubiquinol-cytochrome c reductase iron-sulfur subunit	0.093	0.235	0.098	0.238	0.446	0.694	0.000274584527955504	0.997216276308879	0.000190750215936175	0.00184201882124513	0.243680651905771	0.332491828097055	0.000417431573842446	0.999999996206915	0.000302921096896295	0.00294829570468554	0.999248226209326	0.633649892807381
K07760: cyclin-dependent kinase	0.02	0.039	0.051	0.132	0.102	0.119	0.00032459729339455	0.149507895403877	0.000365560669028375	0.0909246777017838	0.613634266897362	0.999970426650699	0.000489792693329853	0.347216543045936	0.000565481014580869	0.111809800640557	0.999248226209326	0.999998145862406
K07767: microtubule-severing ATPase	0.051	0.137	0.112	0.206	0.301	0.505	0.000210431097881571	0.39709049125306	0.000137275132284564	0.0196587256819449	0.508015394055382	0.663331732897491	0.000323131708578487	0.683759496536739	0.000220531467462693	0.0270424097685873	0.999248226209326	0.972471160440035
K07766: diphosphoinositol-polyphosphate diphosphatase	0.073	0.126	0.191	0.36	0.122	0.392	0.0548378855854117	0.0455851438163332	0.711214114483746	0.599280809906199	0.152473296182574	0.999879879717753	0.0622641689159487	0.144980237921896	0.738008918319564	0.64449157065354	0.999248226209326	0.999998145862406
K07769: two-component system, OmpR family, sensor histidine kinase NblS	0.776	0.21	0.661	0.341	0.039	0.09	1.68500685617008e-21	0.0573345518363706	7.21644966006352e-15	1.08912878715728e-13	0.527644620052743	0.411203022055511	5.8475694033679e-21	0.171749713104325	2.53617373445766e-14	3.88145604650255e-13	0.999248226209326	0.723199305186911
K07768: two-component system, OmpR family, sensor histidine kinase SenX3	0.762	0.189	0.678	0.286	0.01	0.041	1.3331595577706e-26	0.132966579885039	1.66533453693773e-15	2.56461518688411e-14	0.768920165920397	0.183384832263704	5.73899733249623e-26	0.319277148623366	6.8261894453468e-15	1.23961984661357e-13	0.999248226209326	0.433500378248221
K01945: phosphoribosylamine--glycine ligase	2.076	0.242	1.884	0.23	0.25	0.568	2.18427231506444e-48	0.0074638380121762	1.66533453693773e-15	1.66533453693773e-15	0.343501451306305	0.999847588204954	1.4938950091907e-46	0.0390482057417054	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.999998145862406
K04688: p70 ribosomal S6 kinase	0.078	0.137	0.13	0.194	0.188	0.309	0.0433328696672968	0.357474206403047	0.0540501422051103	0.533538117399356	0.445574698967463	0.490047735236568	0.0498426261649349	0.643303652019259	0.0658533257811262	0.579006332788355	0.999248226209326	0.80532412645383
K09024: putative flavin reductase RutF	0.582	0.551	0.615	0.594	0	0	0.000257382938139661	0.954309473884784	0.000236021063495628	0.000921921309662399	0.939926896554511	0.00166477365529813	0.000391868420324191	0.999999996206915	0.000370751022838165	0.00153158706657069	0.999248226209326	0.0214692314402537
K09022: UPF0076 protein YjgF	1.264	0.355	1.077	0.541	0.061	0.245	9.13331236334941e-21	0.067488582657922	1.0991207943789e-14	2.692290834716e-13	0.927748005669527	0.999783425853823	3.08173350087072e-20	0.193592366936273	3.75862262662045e-14	9.32724775806279e-13	0.999248226209326	0.999998145862406
K09023: protein RutD	0.204	0.305	0.201	0.336	0	0	0.0364110859026611	0.998579303926927	0.0297503354003535	0.0786039284343628	0.161970929619625	0.00354938258763155	0.0423289304601792	0.999999996206915	0.0375628067998241	0.0979652154750136	0.999248226209326	0.0355932319784403
K09020: putative isochorismatase family protein RutB	0.303	0.395	0.397	0.481	0	0	0.0054598405348493	0.508291468777073	0.0137415715237773	0.00462937517270667	0.858469703026109	0.0107105969678942	0.00711802298899715	0.805872167057326	0.0182034702644684	0.00699230934894926	0.999248226209326	0.0714488665221727
K09021: UPF0076 protein RutC	0.442	0.399	0.427	0.512	0	0	0.000346210514858149	0.98420361190512	0.000228723987627077	0.00264804058231616	0.429266729526271	0.429805623297611	0.000519828170681192	0.999999996206915	0.000359845673994836	0.00414893771545906	0.999248226209326	0.742192008230514
K02908: large subunit ribosomal protein L30e	0.261	0.423	0.381	0.499	0.451	0.822	0.247343324177138	0.496412251782083	0.333020664064901	0.895024203052086	0.249622028019576	0.134774067611223	0.260886989129482	0.794353144397452	0.363018764714014	0.922922636621726	0.999248226209326	0.359495946340716
K08218: MFS transporter, PAT family, beta-lactamase induction signal	1.921	0.319	1.689	0.426	0.216	0.591	8.44114310398059e-34	0.013785258843404	1.66533453693773e-15	2.99760216648792e-15	0.654645323818522	0.295151557564334	6.09504603486712e-33	0.0604545177087896	6.8261894453468e-15	2.3696629074561e-14	0.999248226209326	0.588081024842587
K08219: MFS transporter, UMF2 family, putative MFS family transporter	0.46	0.54	0.413	0.487	0.081	0.322	0.0248758564000488	0.902413587600814	0.0182065830099418	0.0992261105749556	0.608422759164213	0.588445902683258	0.029631964365381	0.999999996206915	0.0236903528818974	0.121234310531866	0.999248226209326	0.904056085217816
K02904: large subunit ribosomal protein L29	1.797	0.499	1.44	0.74	0.243	0.665	2.23465693468369e-17	0.0118546883306997	2.91988655476416e-14	1.80115156123151e-09	0.782909792966034	0.194531775979458	6.5839093714519e-17	0.0544599908445049	8.48160947682968e-14	4.85760281489419e-09	0.999248226209326	0.451091398242651
K08217: MFS transporter, DHA3 family, macrolide efflux protein	1.528	0.356	1.143	0.607	0	0	5.25203321897291e-28	4.40162374942821e-05	1.66533453693773e-15	3.27515792264421e-14	0.83287176663438	0.126394118662104	2.46675356511482e-27	0.000762092684829104	6.8261894453468e-15	1.27876114657699e-13	0.999248226209326	0.346758667718455
K02906: large subunit ribosomal protein L3	2.063	0.343	1.953	0.221	0.297	0.537	3.07177492722279e-39	0.30568669956854	1.66533453693773e-15	1.66533453693773e-15	0.0813359693567458	0.984922768225284	3.76215170664087e-38	0.577682378228408	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.999998145862406
K02902: large subunit ribosomal protein L28	1.943	0.418	1.445	0.863	0.066	0.265	7.65187237207381e-26	5.65824191803843e-05	1.66533453693773e-15	1.88848936488739e-13	0.977142575930912	0.00767862043988935	3.16419477777264e-25	0.000920070729527203	6.8261894453468e-15	6.60266212755287e-13	0.999248226209326	0.0588661997702852
K00230: protoporphyrinogen oxidase	0.543	0.548	0.394	0.476	0	0	0.000433919164718082	0.353145082159881	0.000315125833281416	0.0374639760640929	0.789626410608309	0.269534592067871	0.000644525611429714	0.638705433907057	0.000490204688776891	0.0492321291671273	0.999248226209326	0.555591760547746
K00231: protoporphyrinogen oxidase	0.45	0.434	0.635	0.498	0.25	0.449	0.0228829719139231	0.138143426879037	0.225580826998264	0.0193201253786458	0.504316497860137	0.999830999924494	0.0273597819760459	0.328211959177479	0.252451898729382	0.0266187422317377	0.999248226209326	0.999998145862406
K00234: succinate dehydrogenase (ubiquinone) flavoprotein subunit	0.51	0.196	0.514	0.281	0.442	0.583	0.649728597501969	0.997635644135396	0.639973763975855	0.691133129444811	0.157303145727791	0.604071323170759	0.660470603372493	0.999999996206915	0.668070708509866	0.733297430526506	0.999248226209326	0.919301874159536
K00235: succinate dehydrogenase (ubiquinone) iron-sulfur protein	0.086	0.141	0.268	0.407	0.16	0.437	0.00467796569767603	0.00346205624444795	0.537761765208463	0.375027874750262	0.282726781058669	0.66250911328449	0.00615670858416302	0.0222529423019585	0.568093693999291	0.417940463484225	0.999248226209326	0.971538434742109
K00239: succinate dehydrogenase flavoprotein subunit	1.95	0.259	1.673	0.545	0.481	0.513	8.46811551618103e-30	0.00147588853526082	1.66533453693773e-15	2.69784194983913e-14	0.3336032823242	0.982015143480166	4.3980733060575e-29	0.0122394189565839	6.8261894453468e-15	1.23961984661357e-13	0.999248226209326	0.999998145862406
K01013	0.064	0.137	0.063	0.134	0.001	0.004	0.192544346501647	0.999794508657239	0.173008255496402	0.277641453714261	0.402212493696268	0.276653324073694	0.205906085234632	0.999999996206915	0.197357805698388	0.314829271378299	0.999248226209326	0.564528589888224
K01012: biotin synthetase	2.063	0.262	1.782	0.42	0.113	0.325	9.10590465138583e-50	8.84084392533957e-05	1.66533453693773e-15	1.66533453693773e-15	0.122201480371747	0.566455175113117	8.15112376661552e-48	0.00133744942259471	6.8261894453468e-15	1.6951323288194e-14	0.999248226209326	0.88139382692064
K01011: 3-mercaptopyruvate sulfurtransferase	0.502	0.483	0.708	0.583	0.08	0.321	0.000348328788534628	0.123657276106319	0.00475719450790613	0.00020568752271144	0.221175577592317	4.45465650101239e-05	0.000522621970867706	0.302532893753684	0.00664762235299003	0.00037063941703509	0.999248226209326	0.00242454399624924
K14455	0.068	0.121	0.17	0.233	0.433	0.479	1.23218299687534e-08	0.0686706392358964	8.50027748189319e-09	0.0003856491311508	0.625252074934907	0.723642794944768	2.492621436351e-08	0.196207665158082	1.746832850516e-08	0.000673006382257718	0.999248226209326	0.999998145862406
K14454	0.048	0.089	0.123	0.179	0.246	0.334	1.08233242132489e-05	0.0623317424783117	1.395309124963e-05	0.0323275435456407	0.47895313324245	0.999880734577177	1.84284124436492e-05	0.182235022317715	2.39786748832574e-05	0.0429177224781494	0.999248226209326	0.999998145862406
K14459	0.349	0.351	0.307	0.36	0.126	0.344	0.0673614880576094	0.841497190352869	0.0536024375627967	0.236541102695886	0.581317870237981	0.528614875422108	0.0756511767170975	0.999999996206915	0.0653340082989074	0.271949696158556	0.999248226209326	0.844535104119258
K14403	0.178	0.201	0.272	0.265	0.099	0.271	0.038296538508828	0.125223599013081	0.391405880910262	0.039037761159471	0.895769124682766	0.963348418308705	0.0443514136041164	0.305241398705576	0.42220230322537	0.0510687410654846	0.999248226209326	0.999998145862406
K12858	0.202	0.14	0.207	0.217	0.203	0.311	0.993502117590367	0.992837987485353	0.999795303560091	0.99792233772917	0.254424666681646	0.999887283169883	0.993502117590367	0.999999996206915	0.999939268255353	0.999985557525021	0.999248226209326	0.999998145862406
K12854	0.251	0.121	0.211	0.139	0.322	0.318	0.0826883417043648	0.464060307835024	0.216898550664315	0.0660673991904493	0.417682881466691	0.367539733041553	0.0918641971079519	0.761589402478239	0.24332131918424	0.0833994730137423	0.999248226209326	0.673859745489137
K13648	0.184	0.246	0.15	0.244	0	0	0.0143408164883845	0.768807821722945	0.0102585801883306	0.100537521873091	0.160688376886454	0.226757122481302	0.0177099918776215	0.999999996206915	0.0137875861352105	0.122664240457307	0.999248226209326	0.496143279850354
K03509: DNA polymerase eta subunit	0.032	0.138	0.056	0.177	0.18	0.374	0.0145537715566755	0.81567651920444	0.010303140312423	0.0890174249871541	0.560133286624578	0.716278287843291	0.0179620453093032	0.999999996206915	0.013841362851847	0.109708253876657	0.999248226209326	0.999998145862406
K03503: DNA polymerase V	0.986	0.5	1.229	0.508	0.069	0.277	5.95636695191868e-12	0.0531013417785594	2.54779641828407e-10	9.31843491258633e-12	0.995119378787555	0.163754927782823	1.42126247104386e-11	0.162835197685688	5.63124066742742e-10	2.90134594950961e-11	0.999248226209326	0.403063584882348
K03502: DNA polymerase V	1.864	0.326	1.805	0.415	0.403	0.629	1.47462403395579e-27	0.754722088792339	1.66533453693773e-15	9.43689570931383e-15	0.383935114288192	0.11332831211261	6.74889962006685e-27	0.993510673546489	6.8261894453468e-15	6.09145113283068e-14	0.999248226209326	0.324167967964971
K03501: glucose inhibited division protein B	1.919	0.335	1.646	0.524	0.175	0.48	4.57312454270782e-33	0.00459137444714364	1.66533453693773e-15	6.32827124036339e-15	0.73807644059606	0.461142822967423	3.1067644075293e-32	0.0274227530292491	6.8261894453468e-15	4.33785890091126e-14	0.999248226209326	0.775954619360938
K03500: ribosomal RNA small subunit methyltransferase B	1.711	0.265	1.523	0.479	0.169	0.372	1.27745840662234e-35	0.0234443404272101	1.66533453693773e-15	1.88737914186277e-15	0.36729834140926	0.22686986331643	1.07105913513915e-34	0.0894145991105438	6.8261894453468e-15	1.71983186175429e-14	0.999248226209326	0.496211591091308
K02278: prepilin peptidase CpaA	0.362	0.48	0.306	0.497	0	0	0.0154076216652596	0.834844360406816	0.0109211994952751	0.0875442510676676	0.728939526827163	0.999820954692057	0.0189161341420805	0.999999996206915	0.0146458121453492	0.108089626013974	0.999248226209326	0.999998145862406
K02279: pilus assembly protein CpaB	1.04	0.419	0.809	0.647	0.091	0.364	3.49649489640392e-11	0.0583060001443256	1.85506054961593e-11	8.17336594893803e-06	0.936214242843517	0.482090403085588	8.06180471000403e-11	0.174031562453202	4.35806775974996e-11	1.6796515371771e-05	0.999248226209326	0.797429815784318
K02276: cytochrome c oxidase subunit III	0.151	0.36	0.84	0.54	1.846	0.543	1.82937779812608e-31	1.25214283386299e-11	1.66533453693773e-15	1.39889211325794e-11	0.845609290342086	0.99984756375128	1.08957168857079e-30	5.90836699978606e-10	6.8261894453468e-15	4.3092390148791e-11	0.999248226209326	0.999998145862406
K02274: cytochrome c oxidase subunit I	0.267	0.424	1.139	0.589	2.192	0.19	1.97243578766139e-35	3.10862446895044e-14	1.66533453693773e-15	1.5056511593059e-11	0.708659311267643	0.234417482468368	1.62027215107893e-34	1.90024893510268e-12	6.8261894453468e-15	4.62640010433872e-11	0.999248226209326	0.5061034759933
K02275: cytochrome c oxidase subunit II	0.267	0.339	0.893	0.521	1.594	0.56	5.24045209822257e-25	1.28705490709535e-10	4.77395900588817e-15	5.81101254337746e-07	0.39522761487458	0.999843059259356	2.10274435872648e-24	5.47853371992267e-09	1.72150998038159e-14	1.31934477253035e-06	0.999248226209326	0.999998145862406
K11929: outer membrane pore protein E	0.179	0.314	0.415	0.45	0.09	0.25	0.00205345010610648	0.00418839155146333	0.601194575147976	0.00781690908006216	0.979531435604096	0.000350909238189846	0.00282407383548805	0.0256486311607216	0.630399893010461	0.0114186526446696	0.999248226209326	0.00782411916799118
K13108	0.108	0.238	0.222	0.376	0.078	0.136	0.0903159893806449	0.102008736174678	0.902303225771131	0.180551930678751	0.0180188193584455	0.999838197579313	0.0998643828083535	0.261376648742734	0.920912095115506	0.211634816491731	0.999248226209326	0.999998145862406
K13457	0.001	0.002	0.001	0.002	0	0.001	0.205287714024746	0.899689032807109	0.235789405588161	0.208022371576748	0.122816123550243	0.91226372050901	0.218726818706219	0.999999996206915	0.26317267697936	0.241693486502704	0.999248226209326	0.999998145862406
K13107	0.253	0.266	0.296	0.404	0.257	0.455	0.81841503949274	0.803659070243745	0.99869348786323	0.920146045151389	0.390598082486264	0.152471082513662	0.82396499262195	0.999999996206915	0.999939268255353	0.944029829232514	0.999248226209326	0.387027305780093
K12507: acyl-CoA synthetase	0.317	0.288	0.29	0.271	0.022	0.088	0.000402445368571587	0.884060404971816	0.000238704359592834	0.00532530192731917	0.212036462492603	0.0986376466265938	0.000599824916379836	0.999999996206915	0.000374675976493445	0.00796831682192522	0.999248226209326	0.296204911206747
K12506: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase /	0.938	0.179	0.821	0.319	0.025	0.072	4.08248332487312e-33	0.0253714645368531	1.66533453693773e-15	3.21964677141295e-15	0.886589810108898	0.0269688529748631	2.79214337061828e-32	0.0947460764636963	6.8261894453468e-15	2.50613681554868e-14	0.999248226209326	0.132073167456848
K12500: thioesterase III	0.352	0.364	0.421	0.418	0	0	0.000537896088974504	0.640006511522837	0.00101292859440494	0.000704857104075973	0.4741780864444	0.0687365659806191	0.000789909166124922	0.916692544492156	0.0015045623118943	0.00118948300319114	0.999248226209326	0.236383885380807
K12503: short-chain Z-isoprenyl diphosphate synthetase	0.312	0.198	0.256	0.215	0.039	0.141	4.18077395480854e-06	0.377203895556451	2.1894668027489e-06	0.00152757313181118	0.320988886787975	0.0456717488004586	7.32748950847094e-06	0.66455574884287	3.94531806640987e-06	0.00246836677816157	0.999248226209326	0.185339722839309
K12502: MPBQ/MSBQ methyltransferase	0.094	0.143	0.091	0.131	0	0	0.034529223119177	0.996738447497656	0.0278515959141868	0.0779740403880601	0.964670234747427	0.0490179507393466	0.0402796820863224	0.999999996206915	0.0352972442909963	0.097200078607848	0.999248226209326	0.191879270836272
K07083	0.524	0.495	0.156	0.36	0	0	1.82327266879456e-06	0.000485458894262103	6.90503218283567e-05	0.503039826202829	0.784404453608595	0.0620073694458534	3.26900168923491e-06	0.00522082736638414	0.000113413197239398	0.547960526502616	0.999248226209326	0.223468832336832
K06045: squalene-hopene cyclase	0.322	0.475	0.12	0.281	0.09	0.259	0.0227064476897567	0.0692422112893061	0.107240594738486	0.972159054889627	0.102149271868711	0.000935266569559856	0.0271700701960977	0.197413274059956	0.125678378932069	0.985786771854304	0.999248226209326	0.0149421722018657
K09728: hypothetical protein	0.116	0.253	0.069	0.208	0	0	0.150502109940004	0.616330596911877	0.15503804366604	0.606200809144929	0.81289846187369	0.137119260083542	0.162901037761438	0.900935569060915	0.177958999018515	0.65112834396774	0.999248226209326	0.362889102664574
K06596: chemosensory pili system protein ChpA (sensor histidine	0.198	0.102	0.257	0.233	0.042	0.169	2.49943360313096e-05	0.14346788843297	0.000308680587138954	1.6321365316041e-05	0.576509421770622	0.361347924548417	4.1602549472951e-05	0.337568240004442	0.000480546990771052	3.25411564620837e-05	0.999248226209326	0.666522671735216
K06595: heam-based aerotactic trancducer	0.049	0.072	0.078	0.147	0.001	0.005	0.0246492284878344	0.292808715856063	0.112657488951035	0.0180202408337846	0.216306515525709	0.999960142283222	0.0293735030942537	0.560890612993395	0.131646407226905	0.0249350320425658	0.999248226209326	0.999998145862406
K06599: AraC family transcriptional regulator, chemosensory pili system	0.167	0.19	0.142	0.202	0.004	0.018	0.00515610713709152	0.80853867693331	0.0034087938563454	0.0441275952497882	0.220788109990593	0.999892818573871	0.00674660880126313	0.999999996206915	0.00482206093506262	0.0571462398093498	0.999248226209326	0.999998145862406
