Strain	BioProject	Genes	Proteins	Size-Mb	GC	16S count	Mean 16S similarity	Bioproject	species	genus	family	order	class	phylum	
Burkholderia thailandensis E264	PRJNA58081	5712	5632	6.7240	67.6468	4	99.81	bio58081	Burkholderia thailandensis	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Burkholderia vietnamiensis G4	PRJNA58075	7861	7617	8.3911	65.7274	6	99.74	bio58075	Burkholderia vietnamiensis	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Burkholderia xenovorans LB400	PRJNA57823	9043	8702	9.7311	62.6336	6	99.82	bio57823	Burkholderia xenovorans	Burkholderia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Burkholderiales bacterium JOSHI_001	PRJNA83013	5022	4908	5.6004	68.8	1	n.d.	bio83013	Burkholderiales bacterium	Burkholderiales	other Burkholderiales	Burkholderiales	Betaproteobacteria	Proteobacteria	
Butyrivibrio proteoclasticus B316	PRJNA51489	3881	3811	4.4049	39.999	6	99.88	bio51489	Butyrivibrio proteoclasticus	Butyrivibrio	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	
Caldicellulosiruptor bescii DSM 6725	PRJNA59201	2836	2666	2.9317	35.2189	3	99.57	bio59201	Caldicellulosiruptor bescii	Caldicellulosiruptor	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterales	Clostridia	Firmicutes	
Caldicellulosiruptor hydrothermalis 108	PRJNA60157	2686	2546	2.7707	36.1	3	99.79	bio60157	Caldicellulosiruptor hydrothermalis	Caldicellulosiruptor	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterales	Clostridia	Firmicutes	
Caldicellulosiruptor kristjanssonii 177R1B	PRJNA60393	2708	2482	2.8024	36.0983	3	99.66	bio60393	Caldicellulosiruptor kristjanssonii	Caldicellulosiruptor	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterales	Clostridia	Firmicutes	
Caldicellulosiruptor kronotskyensis 2002	PRJNA60491	2643	2466	2.8438	35.1	3	99.29	bio60491	Caldicellulosiruptor kronotskyensis	Caldicellulosiruptor	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterales	Clostridia	Firmicutes	
Caldicellulosiruptor lactoaceticus 6A	PRJNA60575	2545	2318	2.6748	36.1	3	99.31	bio60575	Caldicellulosiruptor lactoaceticus	Caldicellulosiruptor	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterales	Clostridia	Firmicutes	
Caldicellulosiruptor obsidiansis OB47	PRJNA51501	2390	2188	2.5323	35.2	3	98.45	bio51501	Caldicellulosiruptor obsidiansis	Caldicellulosiruptor	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterales	Clostridia	Firmicutes	
Caldicellulosiruptor owensensis OL	PRJNA60165	2323	2147	2.4289	35.4	3	99.74	bio60165	Caldicellulosiruptor owensensis	Caldicellulosiruptor	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterales	Clostridia	Firmicutes	
Caldicellulosiruptor saccharolyticus DSM 8903	PRJNA58289	2844	2682	2.9703	35.3	3	98.77	bio58289	Caldicellulosiruptor saccharolyticus	Caldicellulosiruptor	Thermoanaerobacterales Family III. Incertae Sedis	Thermoanaerobacterales	Clostridia	Firmicutes	
Caldilinea aerophila DSM 14535 = NBRC 104270	PRJNA158165	4174	4119	5.1449	58.8	2	99.67	bio15816	Caldilinea aerophila	Caldilinea	Caldilineaceae	Caldilineales	Caldilineae	Chloroflexi	
Caldisericum exile AZM16c01	PRJNA158173	1633	1581	1.5581	35.4	1	n.d.	bio15817	Caldisericum exile	Caldisericum	Caldisericaceae	Caldisericales	Caldisericia	Caldiserica	
Calditerrivibrio nitroreducens DSM 19672	PRJNA60821	2177	2100	2.2166	35.6755	2	99.94	bio60821	Calditerrivibrio nitroreducens	Calditerrivibrio	Deferribacteraceae	Deferribacterales	Deferribacteres	Deferribacteres	
Campylobacter concisus 13826	PRJNA58667	2194	1989	2.0994	39.2388	3	99.78	bio58667	Campylobacter concisus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter curvus 525.92	PRJNA58669	2110	1934	1.9713	44.5	2	100.00	bio58669	Campylobacter curvus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter fetus subsp. fetus 82-40	PRJNA58545	1820	1719	1.7736	33.3	3	100.00	bio58545	Campylobacter fetus	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter hominis ATCC BAA-381	PRJNA58981	1804	1687	1.7150	31.7051	3	99.78	bio58981	Campylobacter hominis	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter jejuni RM1221	PRJNA57899	1940	1838	1.7778	30.3	6	100.00	bio57899	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter jejuni subsp. doylei 269.97	PRJNA58671	2037	1731	1.8451	30.6	4	99.78	bio58671	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter jejuni subsp. jejuni 1336	PRJNA43391	1801	1756	1.6745	30.2	1	n.d.	bio43391	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter jejuni subsp. jejuni 414	PRJNA43389	1840	1800	1.6865	29.8	2	100.00	bio43389	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter jejuni subsp. jejuni 81116	PRJNA58771	1681	1626	1.6281	30.5	6	100.00	bio58771	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter jejuni subsp. jejuni 81-176	PRJNA58503	1812	1758	1.6991	30.4566	6	99.93	bio58503	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter jejuni subsp. jejuni IA3902	PRJNA159531	1740	1666	1.6722	30.4955	6	100.00	bio15953	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter jejuni subsp. jejuni ICDCCJ07001	PRJNA61249	1671	1534	1.7089	30.551	6	99.96	bio61249	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter jejuni subsp. jejuni M1	PRJNA159535	1675	1622	1.6167	30.6	6	99.90	bio15953	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	PRJNA57587	1699	1623	1.6415	30.5	6	100.00	bio57587	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter jejuni subsp. jejuni S3	PRJNA159533	1866	1783	1.7246	30.4624	6	100.00	bio15953	Campylobacter jejuni	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Campylobacter lari RM2100	PRJNA58115	1613	1545	1.5717	29.6177	5	99.87	bio58115	Campylobacter lari	Campylobacter	Campylobacteraceae	Campylobacterales	Epsilonproteobacteria	Proteobacteria	
Capnocytophaga canimorsus Cc5	PRJNA70727	2471	2404	2.5714	36.1	3	99.10	bio70727	Capnocytophaga canimorsus	Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	
Capnocytophaga ochracea DSM 7271	PRJNA59197	2255	2171	2.6129	39.6	4	99.78	bio59197	Capnocytophaga ochracea	Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	
Carboxydothermus hydrogenoformans Z-2901	PRJNA57821	2707	2620	2.4015	42	4	99.40	bio57821	Carboxydothermus hydrogenoformans	Carboxydothermus	Thermoanaerobacteraceae	Thermoanaerobacterales	Clostridia	Firmicutes	
Catenulispora acidiphila DSM 44928	PRJNA59077	9126	8913	10.4678	69.8	3	100.00	bio59077	Catenulispora acidiphila	Catenulispora	Catenulisporaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Caulobacter crescentus CB15	PRJNA57891	3819	3737	4.0170	67.2	2	100.00	bio57891	Caulobacter crescentus	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	
Caulobacter crescentus NA1000	PRJNA59307	3971	3877	4.0429	67.2	2	100.00	bio59307	Caulobacter crescentus	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	
Caulobacter segnis ATCC 21756	PRJNA41709	4325	4139	4.6556	67.7	2	100.00	bio41709	Caulobacter segnis	Caulobacter	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria	
Cellulomonas fimi ATCC 484	PRJNA66779	3863	3761	4.2663	74.7	2	99.67	bio66779	Cellulomonas fimi	Cellulomonas	Cellulomonadaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Cellulomonas flavigena DSM 20109	PRJNA48821	3784	3678	4.1232	74.3	2	99.87	bio48821	Cellulomonas flavigena	Cellulomonas	Cellulomonadaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Cellulophaga algicola DSM 14237	PRJNA62159	4344	4163	4.8884	33.8	5	99.69	bio62159	Cellulophaga algicola	Cellulophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	
Cellulophaga lytica DSM 7489	PRJNA63401	3358	3284	3.7659	32.1	4	99.71	bio63401	Cellulophaga lytica	Cellulophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	
Cellvibrio japonicus Ueda107	PRJNA59139	3812	3750	4.5766	52	3	100.00	bio59139	Cellvibrio japonicus	Cellvibrio	Pseudomonadaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	
Citrobacter koseri ATCC BAA-895	PRJNA58143	5151	5006	4.7354	53.7998	7	99.52	bio58143	Citrobacter koseri	Citrobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Citrobacter rodentium ICC168	PRJNA43089	5170	4913	5.4443	54.5286	7	99.01	bio43089	Citrobacter rodentium	Citrobacter	Enterobacteriaceae	Enterobacteriales	Gammaproteobacteria	Proteobacteria	
Clavibacter michiganensis subsp. michiganensis NCPPB 382	PRJNA61625	3167	3078	3.3952	72.5311	2	100.00	bio61625	Clavibacter michiganensis	Clavibacter	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Clavibacter michiganensis subsp. sepedonicus	PRJNA61577	3281	3116	3.4038	72.4187	2	99.54	bio61577	Clavibacter michiganensis	Clavibacter	Microbacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Clostridiales genomosp. BVAB3 str. UPII9-5	PRJNA46219	1621	1567	1.8098	44.2	2	100.00	bio46219	Clostridiales genomosp.	Clostridiales	other Clostridiales	Clostridiales	Clostridia	Firmicutes	
Clostridium acetobutylicum ATCC 824	PRJNA57677	4021	3847	4.1329	30.9	11	99.76	bio57677	Clostridium acetobutylicum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium acetobutylicum DSM 1731	PRJNA68293	4057	3922	4.1456	30.8866	11	99.77	bio68293	Clostridium acetobutylicum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium acetobutylicum EA 2018	PRJNA159515	4024	3916	4.1322	30.9	11	99.93	bio15951	Clostridium acetobutylicum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium beijerinckii NCIMB 8052	PRJNA58137	5243	5020	6.0006	29.9	14	99.47	bio58137	Clostridium beijerinckii	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium botulinum A str. ATCC 19397	PRJNA58927	3699	3550	3.8635	28.2	8	99.57	bio58927	Clostridium botulinum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium botulinum A str. ATCC 3502	PRJNA61579	3786	3590	3.9033	28.1941	9	99.60	bio61579	Clostridium botulinum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium botulinum A str. Hall	PRJNA58931	3569	3401	3.7606	28.2	8	99.57	bio58931	Clostridium botulinum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium botulinum A2 str. Kyoto	PRJNA59229	4034	3877	4.1553	28.2	9	99.69	bio59229	Clostridium botulinum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium botulinum A3 str. Loch Maree	PRJNA59149	4108	3983	4.2597	28.1309	9	99.67	bio59149	Clostridium botulinum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium botulinum B str. Eklund 17B	PRJNA59159	3639	3475	3.8480	27.469	11	99.68	bio59159	Clostridium botulinum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium botulinum B1 str. Okra	PRJNA59147	3971	3846	4.1070	28.1949	9	99.72	bio59147	Clostridium botulinum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium botulinum Ba4 str. 657	PRJNA59173	4254	4002	4.2578	28.0255	9	99.67	bio59173	Clostridium botulinum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium botulinum BKT015925	PRJNA66203	3116	2994	3.2076	28.2433	10	99.52	bio66203	Clostridium botulinum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium botulinum E3 str. Alaska E43	PRJNA59157	3380	3257	3.6596	27.4	11	99.71	bio59157	Clostridium botulinum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium botulinum F str. 230613	PRJNA159513	3866	3527	4.0106	28.2904	9	99.76	bio15951	Clostridium botulinum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium botulinum F str. Langeland	PRJNA58929	3862	3655	4.0129	28.2904	9	99.67	bio58929	Clostridium botulinum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium botulinum H04402 065	PRJEA61511	3721	3694	3.9197	28.2	9	99.61	bio61511	Clostridium botulinum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium cellulolyticum H10	PRJNA58709	3569	3390	4.0687	37.4	8	99.16	bio58709	Clostridium cellulolyticum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium cellulovorans 743B	PRJNA51503	4501	4254	5.2622	31.2	9	99.82	bio51503	Clostridium cellulovorans	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium clariflavum DSM 19732	PRJNA82345	4220	3892	4.8977	35.7	6	99.98	bio82345	Clostridium clariflavum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium difficile 2007855	PRJNA158365	-	-	4.1799	28.7	9	99.28	bio15836	Clostridium difficile	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium difficile 630	PRJNA57679	3954	3739	4.2981	29.0978	11	99.77	bio57679	Clostridium difficile	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium difficile BI1	PRJNA158363	4035	3934	4.4647	28.3513	12	99.68	bio15836	Clostridium difficile	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium difficile CD196	PRJNA41017	3595	3454	4.1106	28.6	10	98.31	bio41017	Clostridium difficile	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium difficile CF5	PRJNA158359	-	-	4.1595	28.5	9	99.59	bio15835	Clostridium difficile	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium difficile M120	PRJNA158361	-	-	4.0477	28.7	11	99.50	bio15836	Clostridium difficile	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium difficile M68	PRJNA42463	-	-	4.3083	28.9	10	99.70	bio42463	Clostridium difficile	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium difficile R20291	PRJNA40921	3632	3507	4.1913	28.8	9	99.65	bio40921	Clostridium difficile	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium kluyveri DSM 555	PRJNA58885	3994	3913	4.0238	32.0206	7	99.73	bio58885	Clostridium kluyveri	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium kluyveri NBRC 12016	PRJNA59369	3604	3523	3.9553	32.0209	7	99.73	bio59369	Clostridium kluyveri	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium lentocellum DSM 5427	PRJNA49117	4417	4182	4.7142	34.3	11	98.38	bio49117	Clostridium lentocellum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium ljungdahlii DSM 13528	PRJNA50583	4296	4184	4.6301	31.1	9	99.83	bio50583	Clostridium ljungdahlii	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium novyi NT	PRJNA58643	2427	2315	2.5477	28.9	10	99.87	bio58643	Clostridium novyi	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium perfringens ATCC 13124	PRJNA57901	3016	2876	3.2567	28.4	8	99.70	bio57901	Clostridium perfringens	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium perfringens SM101	PRJNA58117	2765	2619	2.9601	28.1825	10	99.59	bio58117	Clostridium perfringens	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium perfringens str. 13	PRJNA57681	2849	2723	3.0857	28.5454	10	99.53	bio57681	Clostridium perfringens	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium phytofermentans ISDg	PRJNA58519	4023	3902	4.8476	35.3	8	99.45	bio58519	Clostridium phytofermentans	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium saccharolyticum WM1	PRJNA51419	4387	4154	4.6629	45	6	99.76	bio51419	Clostridium saccharolyticum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium sticklandii DSM 519	PRJNA59585	2688	2573	2.7155	33.3	6	95.02	bio59585	Clostridium sticklandii	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium tetani E88	PRJNA57683	2513	2439	2.8733	28.5917	6	99.65	bio57683	Clostridium tetani	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium thermocellum ATCC 27405	PRJNA57917	3363	3173	3.8433	39	4	99.72	bio57917	Clostridium thermocellum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Clostridium thermocellum DSM 1313	PRJNA41553	3103	2911	3.5616	39.1	4	99.71	bio41553	Clostridium thermocellum	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	
Collimonas fungivorans Ter331	PRJNA70793	4493	4432	5.1869	59.6	3	99.78	bio70793	Collimonas fungivorans	Collimonas	Oxalobacteraceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Colwellia psychrerythraea 34H	PRJNA57855	5054	4910	5.3732	38	9	99.80	bio57855	Colwellia psychrerythraea	Colwellia	Colwelliaceae	Alteromonadales	Gammaproteobacteria	Proteobacteria	
Comamonas testosteroni CNB-2	PRJNA62961	4979	4891	5.4648	61.4334	3	99.78	bio62961	Comamonas testosteroni	Comamonas	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	
Conexibacter woesei DSM 14684	PRJNA43467	6001	5914	6.3594	72.7	1	n.d.	bio43467	Conexibacter woesei	Conexibacter	Conexibacteraceae	Solirubrobacterales	Actinobacteria	Actinobacteria	
Coprothermobacter proteolyticus DSM 5265	PRJNA59253	1541	1482	1.4249	44.8	2	99.48	bio59253	Coprothermobacter proteolyticus	Coprothermobacter	Thermodesulfobiaceae	Thermoanaerobacterales	Clostridia	Firmicutes	
Coraliomargarita akajimensis DSM 45221	PRJNA47079	3192	3120	3.7508	53.6	2	100.00	bio47079	Coraliomargarita akajimensis	Coraliomargarita	Puniceicoccaceae	Puniceicoccales	Opitutae	Verrucomicrobia	
Corallococcus coralloides DSM 2259	PRJNA157997	8107	8033	10.0806	69.9	3	99.50	bio15799	Corallococcus coralloides	Corallococcus	Myxococcaceae	Myxococcales	Deltaproteobacteria	Proteobacteria	
Coriobacterium glomerans PW2	PRJNA65787	1858	1768	2.1157	60.4	2	99.74	bio65787	Coriobacterium glomerans	Coriobacterium	Coriobacteriaceae	Coriobacteriales	Actinobacteria	Actinobacteria	
Corynebacterium aurimucosum ATCC 700975	PRJNA59409	2630	2551	2.8192	60.5248	3	99.78	bio59409	Corynebacterium aurimucosum	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium diphtheriae 241	PRJNA83607	2318	2245	2.4266	53.4	5	99.80	bio83607	Corynebacterium diphtheriae	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium diphtheriae 31A	PRJNA84309	2458	2381	2.5354	53.6	5	99.80	bio84309	Corynebacterium diphtheriae	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium diphtheriae BH8	PRJNA84311	2436	2361	2.4855	53.6	5	99.80	bio84311	Corynebacterium diphtheriae	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium diphtheriae C7 (beta)	PRJNA84313	2415	2337	2.4992	53.5	5	99.80	bio84313	Corynebacterium diphtheriae	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium diphtheriae CDCE 8392	PRJNA84295	2331	2249	2.4333	53.6	4	99.22	bio84295	Corynebacterium diphtheriae	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium diphtheriae HC01	PRJNA84297	2322	2248	2.4272	53.4	5	99.80	bio84297	Corynebacterium diphtheriae	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium diphtheriae HC02	PRJNA84317	2306	2230	2.4686	53.7	5	99.80	bio84317	Corynebacterium diphtheriae	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium diphtheriae HC03	PRJNA84299	2330	2262	2.4784	53.5	5	99.46	bio84299	Corynebacterium diphtheriae	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium diphtheriae HC04	PRJNA84301	2344	2276	2.4843	53.5	5	99.80	bio84301	Corynebacterium diphtheriae	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium diphtheriae INCA 402	PRJNA83605	2292	2214	2.4491	53.7	5	99.80	bio83605	Corynebacterium diphtheriae	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium diphtheriae NCTC 13129	PRJNA57691	2388	2272	2.4886	53.5	5	99.78	bio57691	Corynebacterium diphtheriae	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium diphtheriae PW8	PRJNA84303	2414	2322	2.5307	53.7	5	99.80	bio84303	Corynebacterium diphtheriae	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium diphtheriae VA01	PRJNA84305	2259	2191	2.3954	53.4	5	99.78	bio84305	Corynebacterium diphtheriae	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium efficiens YS-314	PRJNA62905	3064	2994	3.2195	62.9346	5	99.57	bio62905	Corynebacterium efficiens	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium glutamicum ATCC 13032	PRJNA57905	3073	2993	3.3094	53.8	6	99.62	bio57905	Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium glutamicum ATCC 13032	PRJNA61611	3138	3057	3.2827	53.8	6	99.63	bio61611	Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium glutamicum R	PRJNA58897	3156	3080	3.3633	54.0971	6	99.59	bio58897	Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium jeikeium K411	PRJNA58399	2181	2120	2.4768	61.3561	3	100.00	bio58399	Corynebacterium jeikeium	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium kroppenstedtii DSM 44385	PRJNA59411	2083	2018	2.4468	57.5	3	100.00	bio59411	Corynebacterium kroppenstedtii	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium pseudotuberculosis 1/06-A	PRJNA159665	2127	1963	2.2791	52.2	4	99.78	bio15966	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium pseudotuberculosis 1002	PRJNA159677	2203	2090	2.3351	52.2	4	99.78	bio15967	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium pseudotuberculosis 267	PRJNA73515	2249	2148	2.3376	52.2	4	99.78	bio73515	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium pseudotuberculosis 3/99-5	PRJNA83609	2239	2142	2.3379	52.2	4	99.78	bio83609	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium pseudotuberculosis 31	PRJNA73223	2170	2063	2.2970	52.2	4	99.67	bio73223	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium pseudotuberculosis 316	PRJNA89381	2234	2106	2.3104	52.1	4	99.72	bio89381	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium pseudotuberculosis 42/02-A	PRJNA159669	2164	2051	2.3376	52.2	4	99.78	bio15966	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium pseudotuberculosis C231	PRJNA159675	2204	2091	2.3282	52.2	4	99.78	bio15967	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium pseudotuberculosis CIP 52.97	PRJNA159667	2194	2060	2.3206	52.1	4	99.73	bio15966	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
Corynebacterium pseudotuberculosis FRC41	PRJNA50585	2171	2110	2.3379	52.2	4	99.78	bio50585	Corynebacterium pseudotuberculosis	Corynebacterium	Corynebacteriaceae	Actinomycetales	Actinobacteria	Actinobacteria	
